product_id,section,product_name,status,provider,score,matched_name,source_page,image_url,reason,checked_at
food-0003,Food,Кама Олія Соняшниково Оливкова Рафін 1 л,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:39:18+00:00
food-0004,Food,Кама Олія Кукурудзяна Нераф Дез 1 л,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:40:00+00:00
food-0005,Food,Кама Олія Кукурудзяна Раф Дез 1 л,no_match,,0.0,,,,source domain is not suitable,2026-07-19T21:40:41+00:00
food-0006,Food,PROSMAZH Олія РВД 5 л,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:41:22+00:00
food-0007,Food,PROSMAZH Олія РВД фритюр 5 л,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:42:03+00:00
food-0008,Food,Майола Екстра Олія РВД 1 л АК,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:42:46+00:00
food-0009,Food,Майола Екстра Олія РВД 2 л АК,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:43:27+00:00
food-0010,Food,Майола Екстра Олія РВД 5 л АК,no_match,,0.0,,,,source domain is not suitable,2026-07-19T21:44:10+00:00
food-0011,Food,Оліяр Олія Master Fry РВД 5 л АК,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:44:52+00:00
food-0012,Food,Оліяр Олія РВД 1 л АК,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:45:34+00:00
food-0013,Food,Оліяр Олія РВД 2 л АК,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:46:16+00:00
food-0014,Food,Оліяр Олія РВД 5 л АК,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:46:58+00:00
food-0015,Food,БПГ орошок Консервований М/б 420 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:47:39+00:00
food-0016,Food,БПК укурудза Цукрова В/у М/б 340 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:48:20+00:00
food-0017,Food,ID В'ялені помідори в олії 1 кг с/б,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:49:01+00:00
food-0018,Food,ID Дольки артишоку натуральні ж/б 3000 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:49:42+00:00
food-0019,Food,ID М'якоть помідора в томатному соку ж/б 2500 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:50:23+00:00
food-0020,Food,ID М'якоть помідора в томатному соку ж/б 400 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:51:04+00:00
food-0021,Food,ID Цілі помідори б/з шкірки в томатномусоку ж/б 2500 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:51:46+00:00
food-0022,Food,ID Цілі помідори б/з шкірки в томатномусоку ж/б 400 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:52:28+00:00
food-0023,Food,HELCOM Ананас Шматочками 3100 мл.,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:53:10+00:00
food-0024,Food,HELCOM Каперси в Маринаді 650 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:53:51+00:00
food-0025,Food,"HELCOM Оливки Зелені Без Кісточки Ж/Б 4, 15 кг",no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:54:32+00:00
food-0026,Food,"HELCOM Помідори Цілі Ж/Б 2, 5 кг",no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:55:14+00:00
food-0027,Food,Iberica Маслини Econ Б/К 280 г/12 шт,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:55:55+00:00
food-0028,Food,Iberica Маслини Mini Б/К 300 г/12 шт,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:56:38+00:00
food-0029,Food,Iberica Маслини Б/К 420 г/12 шт,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:56:55+00:00
food-0030,Food,Iberica Оливки Б/К 300 г/12 шт,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:57:02+00:00
food-0031,Food,"Iberica Олія Оливкова Рафін 0, 25 л/12 шт",no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:57:08+00:00
food-0032,Food,АКВАБ ички Обсмажені Т/С 230 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:57:14+00:00
food-0033,Food,АКВАК iлька Нероз.Т/С 230 г СНП,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:57:20+00:00
food-0034,Food,АКВАЛ осось Шматочками 230 г × 36,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:57:26+00:00
food-0035,Food,АКВАП ечінка Трiски 115 г × 12 × × ×,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:57:33+00:00
food-0036,Food,АКВАС ардина Бланшована Д/О 230 г × 36,no_match,,0.0,,,,source domain is not suitable,2026-07-19T21:57:39+00:00
food-0037,Food,АКВАС ардина Натуральна Д/О 230 г НП,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:57:45+00:00
food-0038,Food,АКВАТ унець Філе В/О 185 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:57:51+00:00
food-0039,Food,PJ Макаронні вироби Вермішель№7 500 г,no_match,,0.0,,,,source domain is not suitable,2026-07-19T21:57:57+00:00
food-0040,Food,PJ Макаронні вироби Ньоккі(мушля) 500 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:58:03+00:00
food-0041,Food,PJ Макаронні вироби Пенне Pігате(пера) 500 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:58:09+00:00
food-0042,Food,PJ Макаронні вироби Спагеті№5 500 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:58:14+00:00
food-0043,Food,PJ Макаронні вироби Спагетіні№3 500 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:58:21+00:00
food-0044,Food,PJ Макаронні вироби Тортільйоні(трубочки хвилясті) 500 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:58:28+00:00
food-0045,Food,PJ Макаронні вироби Тривеліне(спіралі) 500 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:58:34+00:00
food-0046,Food,Cantare Макарони Вермічеллі 400 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:58:40+00:00
food-0047,Food,Cantare Макарони Пенне Рігате 400 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:58:45+00:00
food-0048,Food,Cantare Макарони Спагеті 400 г × 20,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:58:48+00:00
food-0049,Food,Cantare Макарони Фузілі 400 г,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:58:53+00:00
food-0050,Food,Cantare Макарони Челентані 400 г,no_match,,0.0,,,,source domain is not suitable,2026-07-19T21:58:57+00:00
food-0051,Food,Тая Вермішель Довга 15 кг,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:59:01+00:00
food-0052,Food,Тая Спагеті 16 кг,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:59:05+00:00
food-0053,Food,Тая Спагетіні 15 кг,no_match,,0.0,,,,source domain is not suitable,2026-07-19T21:59:09+00:00
food-0054,Food,Тая Вермішель Павутинка 1 кг,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:59:14+00:00
food-0055,Food,Тая Завитки 1 кг × 7,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:59:17+00:00
food-0056,Food,Тая Перо 1 кг × 7,no_match,,0.0,,,,source domain is not suitable,2026-07-19T21:59:21+00:00
food-0057,Food,Тая Ріжки 1 кг × 10,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:59:25+00:00
food-0058,Food,Тая Спагеті Довгі 450 г × 20,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T21:59:30+00:00
